Handle,Name,Status,Address Line 1,Address Line 2,Postal/ZIP Code,City,State/Province/Region,Country,Phone,Email,Website,Image URL,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Page Title,Page Description,Meta Title,Meta Description,Latitude,Longitude,Priority,Name - FR,Page Title - FR,Page Description - FR,Name - ZH-CN,Page Title - ZH-CN,Page Description - ZH-CN,Name - ES,Page Title - ES,Page Description - ES, Tags,Custom Brands,Custom Brands - FR,Custom Brands - ZH-CN,Custom Brands - ES,Custom Button title 1,Custom Button title 1 - FR,Custom Button title 1 - ZH-CN,Custom Button title 1 - ES,Custom Button URL 1,Custom Button URL 1 - FR,Custom Button URL 1 - ZH-CN,Custom Button URL 1 - ES,Custom Button title 2,Custom Button title 2 - FR,Custom Button title 2 - ZH-CN,Custom Button title 2 - ES,Custom Button URL 2,Custom Button URL 2 - FR,Custom Button URL 2 - ZH-CN,Custom Button URL 2 - ES
cw-sellors-jura-watches,CW SELLORS JURA WATCHES,TRUE,King Street,"",DE61EA,Ashbourne,Derbyshire,United Kingdom,(+44)-01335-453-453,help@jurawatches.co.uk,www.jurawatches.co.uk,,,,,,,,,CW SELLORS JURA WATCHES,"",CW SELLORS JURA WATCHES,"",53.0191876,-1.7321438,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>","","","",,"","","",,"","","",,"","","",,"","",""
d-c-taylor-jewellers-barrie,D.C TAYLOR JEWELLERS BARRIE,TRUE,411 Bayfield St,"",L4M 6E5,Barrie,Ontario,Canada,(+1) 705-725-8062,,https://www.dctaylor.com?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,D.C TAYLOR JEWELLERS BARRIE,"",D.C TAYLOR JEWELLERS BARRIE,"",44.4102175,-79.706244,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FRÉDÉRIQUE CONSTANT</A>, <a href=""https://watchdna.com/blogs/history/TISSOT"">TISSOT</A>,","","","",,"","","",,"","","",,"","","",,"","",""
d-c-taylor-jewellers-collingwood,D.C TAYLOR JEWELLERS COLLINGWOOD,TRUE,120 Hurontario St,"",L9Y 2L8,Collingwood,Ontario,Canada,(+1) 705-444-1171,,https://www.dctaylor.com?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,D.C TAYLOR JEWELLERS COLLINGWOOD,"",D.C TAYLOR JEWELLERS COLLINGWOOD,"",44.4996294,-80.2171308,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FRÉDÉRIQUE CONSTANT</A>, <a href=""https://watchdna.com/blogs/history/TISSOT"">TISSOT</A>,","","","",,"","","",,"","","",,"","","",,"","",""
d-c-taylor-jewellers-owen-sound,D.C TAYLOR JEWELLERS OWEN SOUND,TRUE,1171 16th Street East Unit 7,"",N4K 1Z4,Owen Sound,Ontario,Canada,(+1) 519-376-3476,,https://www.dctaylor.com?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,D.C TAYLOR JEWELLERS OWEN SOUND,"",D.C TAYLOR JEWELLERS OWEN SOUND,"",44.5732357,-80.9243596,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FRÉDÉRIQUE CONSTANT</A>, <a href=""https://watchdna.com/blogs/history/TISSOT"">TISSOT</A>,","","","",,"","","",,"","","",,"","","",,"","",""
d-ajelin-jewellers,D'AJELIN JEWELLERS,TRUE,836 N. Broadway,"",90012,Los Angeles,California,USA,(+1) 213-626-5707,,,,,,,,,,,D'AJELIN JEWELLERS,"",D'AJELIN JEWELLERS,"",34.063295,-118.2376002,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>","","","",,"","","",,"","","",,"","","",,"","",""
da-box,DA BOX,TRUE,"Congress Street, 55","",3801,Portsmouth,New Hampshire,USA,,,http://www.whiteboxjewelers.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,DA BOX,"",DA BOX,"",43.0766987,-70.7589567,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
da-oro,DA'ORO,TRUE,19501 Biscayne Blvd #2065,"",33180,Aventura,Florida,USA,(+1) 305-933-1358,,,,,,,,,,,DA'ORO,"",DA'ORO,"",25.9574474,-80.1441449,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/JUNGHANS"">JUNGHANS</A>","","","",,"","","",,"","","",,"","","",,"","",""
dallany-jewellers,DALLANY JEWELLERS,TRUE,"#2118-2929 barnet hwy, coquitlam centre","",V3B 5R5,Coquitlam,British Columbia,Canada,(+1) 604-552-2285,coquitlam@dallany.ca,https://www.dallany.ca/mobile/?page_id=330/?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,DALLANY JEWELLERS,"",DALLANY JEWELLERS,"",49.2789212,-122.7986637,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/HAMILTON"">HAMILTON</A>, <a href=""https://watchdna.com/blogs/history/RADO"">RADO</A>,","","","",,"","","",,"","","",,"","","",,"","",""
damiani-jewellers,DAMIANI JEWELLERS,TRUE,15 JEVLAN DRIVE,"",L4L 8C2,Woodbridge,Ontario,Canada,(+1) 905-850-4653,info@damianijewellers.com,https://www.damianijewellers.com/?utm_source=WatchDNA.com&utm_medium=referral,,,,,,,,,DAMIANI JEWELLERS,"",DAMIANI JEWELLERS,"",43.7941422,-79.5452185,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>, <a href=""https://watchdna.com/blogs/history/LUMINOX"">LUMINOX</A>, <a href=""https://watchdna.com/blogs/history/RAYMOND-WEIL"">RAYMOND WEIL</A>, <a href=""https://watchdna.com/blogs/history/TAG-HEUER"">TAG HEUER</A>,","","","",,"","","",,"","","",,"","","",,"","",""
daniel-s-jewelers,DANIEL'S JEWELERS,TRUE,14400 BEAR VALLEY ROAD,"",92392,Victorville,California,USA,(+1) 760-241-0606,,,,,,,,,,,DANIEL'S JEWELERS,"",DANIEL'S JEWELERS,"",34.4736474,-117.3478756,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/MOVADO"">MOVADO</A>, <a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
daniel-s-jewelers-2,DANIEL'S JEWELERS,TRUE,"13325 MAIN STREET, #102","",92345,Hesperia,California,USA,(+1) 760-981-0165,,,,,,,,,,,DANIEL'S JEWELERS,"",DANIEL'S JEWELERS,"",34.42632,-117.3722,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/MOVADO"">MOVADO</A>, <a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
daniel-s-jewelers-3,DANIEL'S JEWELERS,TRUE,72-840 HIGHWAY 111 #317,"",92260,Palm Desert,California,USA,(+1) 760-346-4157,,,,,,,,,,,DANIEL'S JEWELERS,"",DANIEL'S JEWELERS,"",33.7241684,-116.394505,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/MOVADO"">MOVADO</A>, <a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
daniel-s-jewelers-4,DANIEL'S JEWELERS,TRUE,4300 MEADOWS LANE #2410,"",89107,Las Vegas,Nevada,USA,(+1) 702-844-6066,,,,,,,,,,,DANIEL'S JEWELERS,"",DANIEL'S JEWELERS,"",36.1726989,-115.1965813,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/MOVADO"">MOVADO</A>, <a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
daniel-s-jewelers-5,DANIEL'S JEWELERS,TRUE,1300 W SUNSET RD #2257,"",89014,Henderson,Nevada,USA,(+1) 702-844-6590,,,,,,,,,,,DANIEL'S JEWELERS,"",DANIEL'S JEWELERS,"",36.06739,-115.042046,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/MOVADO"">MOVADO</A>, <a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
daniel-s-jewelers-6,DANIEL'S JEWELERS,TRUE,7950 W Tropical Pkwy Ste 150,"",89149,Las Vegas,Nevada,USA,(+1) 725-212-4677,,,,,,,,,,,DANIEL'S JEWELERS,"",DANIEL'S JEWELERS,"",36.2707438,-115.2689181,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/MOVADO"">MOVADO</A>, <a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
darakjian-jewelers,DARAKJIAN JEWELERS,TRUE,101 Willits Street,"",48009,Birmingham,Michigan,USA,(+1) 888-843-6659,,,,,,,,,,,DARAKJIAN JEWELERS,"",DARAKJIAN JEWELERS,"",42.5473416,-83.2162067,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BELL-ROSS"">BELL & ROSS</A>, <a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>","","","",,"","","",,"","","",,"","","",,"","",""
david-craig-jewelers-ltd,DAVID CRAIG JEWELERS LTD,TRUE,10 Summit Square Shopping Center,"",19047,Langhorne,Pennsylvania,USA,,,,,,,,,,,,DAVID CRAIG JEWELERS LTD,"",DAVID CRAIG JEWELERS LTD,"",40.2163205,-74.9274764,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CHARRIOL"">CHARRIOL</A>","","","",,"","","",,"","","",,"","","",,"","",""
dayle-may-jewelers,DAYLE MAY JEWELERS,TRUE,307 Manufacturers Rd #101,"",37405,Chattanooga,Tennessee,USA,,,,,,,,,,,,DAYLE MAY JEWELERS,"",DAYLE MAY JEWELERS,"",35.0625147,-85.3140508,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CHARRIOL"">CHARRIOL</A>","","","",,"","","",,"","","",,"","","",,"","",""
dc-leake-ltd,DC LEAKE LTD,TRUE,23 Market Place,"",CV114EG,Nuneaton,Warwickshire,United Kingdom,(+44)-2476-325022,,www.dcleake.com/fortis/,,,,,,,,,DC LEAKE LTD,"",DC LEAKE LTD,"",52.5229877,-1.4679848,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>","","","",,"","","",,"","","",,"","","",,"","",""
de-vons-jewelry,DE VONS JEWELRY,TRUE,13981 S. Virginia Street,"",89511,Reno,Nevada,USA,(+1) 205-402-9777,,,,,,,,,,,DE VONS JEWELRY,"",DE VONS JEWELRY,"",39.4045516,-119.7509859,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
deboulle-diamond-jewelry,DEBOULLE DIAMOND & JEWELRY,TRUE,6821 Preston Road,"",75205,Dallas,Texas,USA,(+1) 214-522-2400,,,,,,,,,,,DEBOULLE DIAMOND & JEWELRY,"",DEBOULLE DIAMOND & JEWELRY,"",32.8490099,-96.8045752,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BELL-ROSS"">BELL & ROSS</A>","","","",,"","","",,"","","",,"","","",,"","",""
dejaun-thousand-oaks,DEJAUN - THOUSAND OAKS,TRUE,"Dejaun Jewelers, 424 West Hillcrest Drive","",91360,Thousand Oaks,California,USA,(+1) 805-495-1425,,,,,,,,,,,DEJAUN - THOUSAND OAKS,"",DEJAUN - THOUSAND OAKS,"",34.1837774,-118.8873354,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>","","","",,"","","",,"","","",,"","","",,"","",""
dejaun-woodland-hills,DEJAUN - WOODLAND HILLS,TRUE,"Dejaun Jewelers, 6320 CA-27 SPACE 1650","",91367,Woodland Hills,California,USA,(+1) 818-888-8292,,,,,,,,,,,DEJAUN - WOODLAND HILLS,"",DEJAUN - WOODLAND HILLS,"",34.18578,-118.60536,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>","","","",,"","","",,"","","",,"","","",,"","",""
dejaun-jewelers,DEJAUN JEWELERS,TRUE,"Topanga Canyon Blvd. Suite 120, 6320","",91367,Los Angeles,California,USA,,,http://www.dejaun.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,DEJAUN JEWELERS,"",DEJAUN JEWELERS,"",34.1855762,-118.6045998,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
dejaun-jewelers-2,DEJAUN JEWELERS,TRUE,"West Hillcrest Drive, 424","",91360,Thousand Oaks,California,USA,,customerservice@dejaun.com,www.dejaun.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,DEJAUN JEWELERS,"",DEJAUN JEWELERS,"",34.1837774,-118.8873354,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
depaula-jewelers,DEPAULA JEWELERS,TRUE,91200 Overseas Hwy,"",33036,Tavernier,Florida,USA,,,,,,,,,,,,DEPAULA JEWELERS,"",DEPAULA JEWELERS,"",25.0049159,-80.5239654,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CHARRIOL"">CHARRIOL</A>","","","",,"","","",,"","","",,"","","",,"","",""
der-uhrmacher,DER UHRMACHER,TRUE,Wallstrasse 14,"",23879,Mölln,Schleswig-Holstein,Germany,(+49)-45422910,mail@deruhrmacher.de,www.deruhrmacher.de,,,,,,,,,DER UHRMACHER,"",DER UHRMACHER,"",53.6280706,10.689704,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>","","","",,"","","",,"","","",,"","","",,"","",""
dfs-san-francisco-airport,DFS SAN FRANCISCO AIRPORT,TRUE,Duty Free Shop San Francisco,"",94128,San Francisco,California,USA,,,,,,,,,,,,DFS SAN FRANCISCO AIRPORT,"",DFS SAN FRANCISCO AIRPORT,"",37.6239079,-122.3815924,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BELL-ROSS"">BELL & ROSS</A>","","","",,"","","",,"","","",,"","","",,"","",""
dfs-t-galleria,DFS T GALLERIA,TRUE,"Daniel K. Inouye International Airport, 300 Rodgers Boulevard","",96819,Honolulu,Hawaii,USA,(+1) 808-931-2700,,,,,,,,,,,DFS T GALLERIA,"",DFS T GALLERIA,"",21.3186623,-157.9254018,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BELL-ROSS"">BELL & ROSS</A>","","","",,"","","",,"","","",,"","","",,"","",""
dhawan-jewellers,DHAWAN JEWELLERS,TRUE,2146- 4310 104 AVE NE,"",T3J 4E9,Calgary,Alberta,Canada,(+1) 403-615-4628,,,,,,,,,,,DHAWAN JEWELLERS,"",DHAWAN JEWELLERS,"",51.1474761,-113.9727219,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/RADO"">RADO</A>,","","","",,"","","",,"","","",,"","","",,"","",""
diamond-cellar,DIAMOND CELLAR,TRUE,3960 New Bond St - Easton Town Center,"",43219,Columbus,Ohio,USA,(+1) 614-923-6633,,,,,,,,,,,DIAMOND CELLAR,"",DIAMOND CELLAR,"",40.0531513,-82.9175195,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BELL-ROSS"">BELL & ROSS</A>","","","",,"","","",,"","","",,"","","",,"","",""
diamond-cellar-2,DIAMOND CELLAR,TRUE,"New Bond Street, 3960","",43219,Columbus,Ohio,USA,,,https://www.diamondcellar.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,DIAMOND CELLAR,"",DIAMOND CELLAR,"",40.0532533,-82.9163108,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BELL-ROSS"">BELL & ROSS</A>","","","",,"","","",,"","","",,"","","",,"","",""
diamond-cellar-3,DIAMOND CELLAR,TRUE,"Green Hills Village Drive, 3805","",37215,Nashville,Tennessee,USA,,,http://www.diamondcellar.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,DIAMOND CELLAR,"",DIAMOND CELLAR,"",36.1086403,-86.8164529,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BELL-ROSS"">BELL & ROSS</A>","","","",,"","","",,"","","",,"","","",,"","",""
diamond-design,DIAMOND DESIGN,TRUE,10 ROWAN STREET,"",A1B 2X1,St. John's,Newfoundland and Labrador,Canada,(+1) 709-754-9497,,http://www.diamonddesign.com/?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,DIAMOND DESIGN,"",DIAMOND DESIGN,"",47.5744306,-52.7221742,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>, <a href=""https://watchdna.com/blogs/history/BREITLING"">BREITLING</A>, <a href=""https://watchdna.com/blogs/history/GRAND SEIKO"">GRAND SEIKO</A>, <a href=""https://watchdna.com/blogs/history/HAMILTON"">HAMILTON</A>, <a href=""https://watchdna.com/blogs/history/SEIKO"">SEIKO</A>,","","","",,"","","",,"","","",,"","","",,"","",""
diamond-outlet-of-las-vegas,DIAMOND OUTLET OF LAS VEGAS,TRUE,32100 Las Vegas Blvd S,"",89123,Las Vegas,Nevada,USA,(+1) 702-874-1901,,,,,,,,,,,DIAMOND OUTLET OF LAS VEGAS,"",DIAMOND OUTLET OF LAS VEGAS,"",35.9296717,-115.1909028,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>","","","",,"","","",,"","","",,"","","",,"","",""
diamonds-gold,DIAMONDS & GOLD,TRUE,"Central Court, 2071","",54311,Green Bay,Wisconsin,USA,,,https://www.diamondsandgoldgb.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,DIAMONDS & GOLD,"",DIAMONDS & GOLD,"",44.4634711,-87.9810197,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
diamonds-direct,DIAMONDS DIRECT,TRUE,4521 Sharon Rd suite 101,"",28211,Charlotte,North Carolina,USA,(+1) 704-532-9041,,,,,,,,,,,DIAMONDS DIRECT,"",DIAMONDS DIRECT,"",35.1505658,-80.8286183,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/JUNGHANS"">JUNGHANS</A>","","","",,"","","",,"","","",,"","","",,"","",""
diamonds-international,DIAMONDS INTERNATIONAL,TRUE,"2nd Avenue, 240","",99840,Skagway,Alaska,USA,,,http://www.diamondsinternational.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,DIAMONDS INTERNATIONAL,"",DIAMONDS INTERNATIONAL,"",59.4533881,-135.3172103,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
diamonds-international-2,DIAMONDS INTERNATIONAL,TRUE,"Mill Street, 315","",99901,Ketchikan,Alaska,USA,,,https://www.diamondsinternational.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,DIAMONDS INTERNATIONAL,"",DIAMONDS INTERNATIONAL,"",55.340921,-131.645974,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
diamonds-of-london,DIAMONDS OF LONDON,TRUE,"San Pedro Avenue, 7400","",78216,San Antonio,Texas,USA,,,http://diamondsoflondon.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,DIAMONDS OF LONDON,"",DIAMONDS OF LONDON,"",29.5194677,-98.494108,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
dillard-s,DILLARD'S,TRUE,1320 WEST SUNSET ROAD,"",89014,Henderson,Nevada,USA,(+1) 702-435-6300,,,,,,,,,,,DILLARD'S,"",DILLARD'S,"",36.0673639,-115.0445036,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/MOVADO"">MOVADO</A>, <a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
dillard-s-2,DILLARD'S,TRUE,11011 SAGE PARK DRIVE,"",89135,Las Vegas,Nevada,USA,(+1) 702-473-6712,,,,,,,,,,,DILLARD'S,"",DILLARD'S,"",36.1477395,-115.3339305,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/MOVADO"">MOVADO</A>, <a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
dillard-s-3,DILLARD'S,TRUE,13933 S VIRGINIA STREET,"",89511,Reno,Nevada,USA,(+1) 775-852-3080,,,,,,,,,,,DILLARD'S,"",DILLARD'S,"",39.404808,-119.7529189,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/MOVADO"">MOVADO</A>, <a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
dillards,DILLARDS,TRUE,3200 LAS VEGAS BLVD SOUTH,"",89109,Las Vegas,Nevada,USA,(+1) 702-733-2008,,,,,,,,,,,DILLARDS,"",DILLARDS,"",36.1289314,-115.1712538,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
dimitra-s-jewellery,DIMITRA'S JEWELLERY,TRUE,1700 Corydon Ave #3,"",R3N 1M1,Winnipeg,Manitoba,Canada,(+1) 204-477-4653,dimitrasjewellery@yahoo.ca,https://www.dimitrasjewellery.com/?page_id=330/?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,DIMITRA'S JEWELLERY,"",DIMITRA'S JEWELLERY,"",49.8630202,-97.1973902,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/GUCCI"">GUCCI</A>, <a href=""https://watchdna.com/blogs/history/LONGINES"">LONGINES</A>, <a href=""https://watchdna.com/blogs/history/MEISTERSINGER"">MEISTERSINGER</A>, <a href=""https://watchdna.com/blogs/history/MOVADO"">MOVADO</A>, <a href=""https://watchdna.com/blogs/history/ORIS"">ORIS</A>, <a href=""https://watchdna.com/blogs/history/TISSOT"">TISSOT</A>, TW STEEL, <a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>, <a href=""https://watchdna.com/blogs/history/VICTORINOX"">VICTORINOX</A>,","","","",,"","","",,"","","",,"","","",,"","",""
diva-diamonds-jewels,DIVA DIAMONDS & JEWELS,TRUE,"East San Francisco Street, 78","",87501,Santa Fe,New Mexico,USA,,,https://divadiamondssantafe.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,DIVA DIAMONDS & JEWELS,"",DIVA DIAMONDS & JEWELS,"",35.6869945,-105.9384592,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
dksh-guam,DKSH GUAM,TRUE,1275 Pale San Vitores Rd,"",96913,Tumon,Guam,USA,(+1) 671-646-0395,,,,,,,,,,,DKSH GUAM,"",DKSH GUAM,"",13.514707,144.8058305,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/JUNGHANS"">JUNGHANS</A>","","","",,"","","",,"","","",,"","","",,"","",""
dodenhof,DODENHOF,TRUE,Posthausen 1,"",28870,Ottersberg,Lower Saxony,Germany,(+49)-42-97-36-445,juwelier@dodenhof.de,www.dodenhof.de,,,,,,,,,DODENHOF,"",DODENHOF,"",53.0577779,9.1706567,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>","","","",,"","","",,"","","",,"","","",,"","",""
dolinski-watch-service,DOLIŃSKI WATCH SERVICE,TRUE,pl. Kościuszki 13/1A,"",50-028,Wrocław,Lower Silesian,Poland,(+48)-512-100-609,salon@dolinski.pl,www.dolinski.pl,,,,,,,,,DOLIŃSKI WATCH SERVICE,"",DOLIŃSKI WATCH SERVICE,"",51.1022888,17.0292972,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>","","","",,"","","",,"","","",,"","","",,"","",""
donald-s-fine-watches-jewelry,DONALD'S FINE WATCHES & JEWELRY,TRUE,324 South Main St,"",80424,Breckenridge,Colorado,USA,(+1) 970-453-8463,,,,,,,,,,,DONALD'S FINE WATCHES & JEWELRY,"",DONALD'S FINE WATCHES & JEWELRY,"",39.4786627,-106.0450868,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/NORQAIN"">NORQAIN</A>","","","",,"","","",,"","","",,"","","",,"","",""
donaldson-watches-repair,DONALDSON WATCHES & REPAIR,TRUE,1464 East Williams Field Road suite 103,"",85295,Gilbert,Arizona,USA,(+1) 480-855-0839,,,,,,,,,,,DONALDSON WATCHES & REPAIR,"",DONALDSON WATCHES & REPAIR,"",33.3075299,-111.7583169,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/UBOAT"">U-BOAT</A>","","","",,"","","",,"","","",,"","","",,"","",""
drama-club,DRAMA CLUB,TRUE,211 Nassau Ave,"",11222,Brooklyn,New York,USA,(+1) 917-214-8274,,,,,,,,,,,DRAMA CLUB,"",DRAMA CLUB,"",40.7258241,-73.9442032,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/JUNGHANS"">JUNGHANS</A>","","","",,"","","",,"","","",,"","","",,"","",""
dufry-the-nuance-group-calgary-airport-duty-free,DUFRY THE NUANCE GROUP - CALGARY AIRPORT DUTY FREE,TRUE,Calgary International Airport - Terminal D 2000 Airport Rd NE,"",T2E 6W5,Calgary,Alberta,Canada,(+1) 403-221-1933,,https://calgary.shopdutyfree.com/en/?utm_source=WatchDNA.com&utm_medium=Store+locator,,,,,,,,,DUFRY THE NUANCE GROUP - CALGARY AIRPORT DUTY FREE,"",DUFRY THE NUANCE GROUP - CALGARY AIRPORT DUTY FREE,"",51.133019,-114.0067926,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FOSSIL"">FOSSIL</A>, <a href=""https://watchdna.com/blogs/history/MICHAEL-KORS"">MICHAEL KORS</A>, <a href=""https://watchdna.com/blogs/history/SWAROVSKI"">SWAROVSKI</A>, <a href=""https://watchdna.com/blogs/history/TISSOT"">TISSOT</A>,","","","",,"","","",,"","","",,"","","",,"","",""
